650232 INFO  [2012-01-20 14:42:28]  83 RunningTime:3869ms
0      DEBUG [2012-01-20 16:11:47]  Request:
1      DEBUG [2012-01-20 16:11:47]  GET:https://api.weibo.com/2/account/rate_limit_status.json
57     DEBUG [2012-01-20 16:11:47]  Authorization: OAuth2 2.00eRwluCqpVBZC9c41bf53913WmLeB
58     DEBUG [2012-01-20 16:11:47]  API-RemoteIP: 192.168.6.1
725    DEBUG [2012-01-20 16:11:48]  Response:
725    DEBUG [2012-01-20 16:11:48]  https StatusCode:400
725    DEBUG [2012-01-20 16:11:48]  Api-Server-IP:10.75.0.171
726    DEBUG [2012-01-20 16:11:48]  Content-Type:application/json;charset=UTF-8
726    DEBUG [2012-01-20 16:11:48]  Vary:Accept-Encoding
726    DEBUG [2012-01-20 16:11:48]  Server:weibo
726    DEBUG [2012-01-20 16:11:48]  Content-Length:90
726    DEBUG [2012-01-20 16:11:48]  Date:Fri, 20 Jan 2012 08:11:48 GMT
726    DEBUG [2012-01-20 16:11:48]  X-Varnish:1697279481
727    DEBUG [2012-01-20 16:11:48]  Age:0
727    DEBUG [2012-01-20 16:11:48]  Via:1.1 varnish
727    DEBUG [2012-01-20 16:11:48]  Connection:keep-alive
735    DEBUG [2012-01-20 16:11:48]  {"error":"expired_token","error_code":21327,"request":"/2/account/rate_limit_status.json"}

1      DEBUG [2012-01-20 16:12:40]  Request:
1      DEBUG [2012-01-20 16:12:40]  GET:https://api.weibo.com/2/account/rate_limit_status.json
56     DEBUG [2012-01-20 16:12:40]  Authorization: OAuth2 2.00eRwluCqpVBZC9c41bf53913WmLeB
56     DEBUG [2012-01-20 16:12:40]  API-RemoteIP: 192.168.6.1
705    DEBUG [2012-01-20 16:12:41]  Response:
705    DEBUG [2012-01-20 16:12:41]  https StatusCode:400
705    DEBUG [2012-01-20 16:12:41]  Api-Server-IP:10.75.0.175
705    DEBUG [2012-01-20 16:12:41]  Content-Type:application/json;charset=UTF-8
705    DEBUG [2012-01-20 16:12:41]  Vary:Accept-Encoding
705    DEBUG [2012-01-20 16:12:41]  Server:weibo
705    DEBUG [2012-01-20 16:12:41]  Content-Length:90
706    DEBUG [2012-01-20 16:12:41]  Date:Fri, 20 Jan 2012 08:12:41 GMT
706    DEBUG [2012-01-20 16:12:41]  X-Varnish:1697316445
706    DEBUG [2012-01-20 16:12:41]  Age:0
706    DEBUG [2012-01-20 16:12:41]  Via:1.1 varnish
706    DEBUG [2012-01-20 16:12:41]  Connection:keep-alive
713    DEBUG [2012-01-20 16:12:41]  {"error":"expired_token","error_code":21327,"request":"/2/account/rate_limit_status.json"}

0      DEBUG [2012-01-21 01:11:48]  Request:
0      DEBUG [2012-01-21 01:11:48]  GET:https://api.weibo.com/2/statuses/home_timeline.json
52     DEBUG [2012-01-21 01:11:48]  Authorization: OAuth2 2.00eRwluCqpVBZC9c41bf53913WmLeB
53     DEBUG [2012-01-21 01:11:48]  API-RemoteIP: 192.168.6.1
705    DEBUG [2012-01-21 01:11:49]  Response:
706    DEBUG [2012-01-21 01:11:49]  https StatusCode:400
706    DEBUG [2012-01-21 01:11:49]  Api-Server-IP:10.75.0.175
706    DEBUG [2012-01-21 01:11:49]  Content-Type:application/json;charset=UTF-8
706    DEBUG [2012-01-21 01:11:49]  Vary:Accept-Encoding
707    DEBUG [2012-01-21 01:11:49]  Server:weibo
707    DEBUG [2012-01-21 01:11:49]  Content-Length:87
707    DEBUG [2012-01-21 01:11:49]  Date:Fri, 20 Jan 2012 17:11:51 GMT
707    DEBUG [2012-01-21 01:11:49]  X-Varnish:1545849717
